Date,Product,Sales_Amount,Fixed_Costs,Variable_Costs,Marketing_Expenses,Number_of_Customers,Profit
2023-01-01,Product_E,2997.2072140461178,325.28444528785343,166.8696110621272,438.1772399863172,184,2066.87591770982
2023-01-02,Product_E,4486.692940588628,707.4184363785178,337.1620176244716,78.8079412799646,153,3363.3045453056734
2023-01-03,Product_D,1459.2317260659354,240.4421737131912,346.1504813796757,499.7200109784832,491,372.91905999458515
2023-01-04,Product_E,1914.632856633134,601.7561710796263,453.7002458535161,256.0282877534372,201,603.1481519465544
2023-01-05,Product_E,3731.924213550957,416.07678724885704,224.08541375067955,212.12853110178767,217,2879.6334814496327
2023-01-06,Product_D,4176.491940878349,411.572340123989,208.38493161246663,214.49538386200115,189,3342.0392852798923
2023-01-07,Product_C,4508.600769391644,713.913187617312,280.3880414890261,389.1426164600343,252,3125.1569238252714
2023-01-08,Product_A,3443.674646285334,774.4351136937363,271.92752822823843,191.2275385732317,80,2206.0844657901275
2023-01-09,Product_B,2568.198595838713,245.7137344632157,273.71000343472633,466.78903217970833,125,1581.9858257610629
2023-01-10,Product_C,4054.5291138950183,600.5279037923402,131.7890599790362,115.1395662859045,265,3207.0725838377375
2023-01-11,Product_E,2964.631109393846,276.0677846140529,461.1873998698048,115.11899348610073,296,2112.2569314238876
2023-01-12,Product_D,1777.3576023235128,217.44220584708796,261.3264696671075,226.59945245325872,59,1071.9894743560587
2023-01-13,Product_E,1537.6397762403733,363.69167111833895,408.40457160284745,72.90566898599758,254,692.6378645331893
2023-01-14,Product_E,2630.0021975651434,701.0297084908486,275.2988570437635,101.51817680478919,159,1552.1554552257421
2023-01-15,Product_E,1184.3521068068076,254.65891608102459,186.71062508366325,290.7589840384282,192,452.22358160369157
2023-01-16,Product_B,2032.2979515224363,602.7228652712746,196.69886123932807,326.64984378561337,328,906.2263812262203
2023-01-17,Product_C,3840.423887968536,892.4349189296712,296.4637758539807,373.2391223784803,342,2278.2860708064036
2023-01-18,Product_C,2451.827054422703,552.0792231217529,230.86185298792518,175.26188015780326,182,1493.6240981552216
2023-01-19,Product_E,3932.133304035206,922.446927402458,146.92651579392083,287.28812789464195,223,2575.471732944185
2023-01-20,Product_A,1574.654795618606,848.1451581952656,350.4992430712456,298.78867330130515,436,77.2217210507896
2023-01-21,Product_A,1598.8165473889967,712.3363365252803,404.5031361924846,164.42615254872842,248,317.5509221225034
2023-01-22,Product_B,4092.394358516104,216.02084356033328,242.05216675614602,423.5256105535194,342,3210.7957376461054
2023-01-23,Product_A,2838.4621290249047,958.1267299967532,346.65869591787975,342.6722902211272,429,1191.0044128891445
2023-01-24,Product_E,4278.655937435884,725.3196141414959,443.6815876854455,281.8511516623483,455,2827.803583946594
2023-01-25,Product_A,2668.0090684660263,343.2237814405637,433.0191120176355,311.43553355317795,383,1580.3306414546494
2023-01-26,Product_E,4978.228464164284,882.4234865683767,254.51130300292166,382.69383648184316,275,3458.599838111142
2023-01-27,Product_A,1996.1911177201612,307.41377622872017,188.20819990024202,423.6486620756361,442,1076.9204795155626
2023-01-28,Product_E,1506.9027320143512,912.4884614419689,403.1301220121534,166.18293258024698,73,25.10121597998193
2023-01-29,Product_C,2395.4099862151193,985.0374753504173,163.6000030749061,322.10828808720464,73,924.6642197025911
2023-01-30,Product_E,1431.1150204600135,634.0241315336984,410.7582660603087,339.65812567474046,331,46.674497191265914
2023-01-31,Product_C,3783.307085554636,514.9105694523297,257.38484259915174,478.4586601950727,209,2532.553013308082
2023-02-01,Product_D,4499.263462576375,739.5123842067447,252.4500262646798,407.68552936652327,292,3099.615522738427
2023-02-02,Product_E,4653.9079730539015,950.099750963425,381.1630072955609,347.46087159015514,160,2975.184343204761
2023-02-03,Product_D,1718.1367609761132,726.8606277906159,320.1768337973656,78.07761614610976,57,593.0216832420219
2023-02-04,Product_D,2949.7054047150555,577.1367923660882,343.34825122688244,470.49794822525206,474,1558.7224128968328
2023-02-05,Product_B,4483.410046110566,890.8331863926328,196.06744552907008,171.32696595162625,122,3225.182448237237
2023-02-06,Product_D,4046.3038492124947,727.6749214649147,243.65732000264697,466.8406272809269,203,2608.130980464006
2023-02-07,Product_B,3424.8022115005315,408.24239678113395,269.2896373393808,354.3343108013121,58,2392.935866578705
2023-02-08,Product_D,1321.8341162418094,815.0782262660861,107.88537973323207,352.2751166637074,292,46.59539357878384
2023-02-09,Product_D,4454.327798643701,929.4118351125269,437.6767960120612,222.8259469630756,196,2864.413220556037
2023-02-10,Product_A,3142.943704332975,685.8292152053966,188.18854278065712,149.81405868540276,180,2119.1118876615183
