user_id,is_registered,visit_datetime,session_id,device_type,browser,referrer,page_views,session_duration_sec,country,city,signup_date,user_type,conversion,pages_visited,utm_source
91adc685-d95d-48ec-a4d0-8947353510d8,True,2025-06-23 22:49:05.731962,ded5cac7-d160-4a43-b21b-4f4927f56800,Desktop,Safari,Snapchat,10,493,Saudi Arabia,Khobar,2025-01-06 08:25:52.861237,New,True,"['/login', '/contact', '/products', '/blog', '/about', '/home']",
8586acca-d0d9-47c3-81b5-99d2372a5489,False,2025-06-28 09:23:50.498516,e7c070da-24e0-44e5-a4b4-9226a244a1ba,Tablet,Chrome,Snapchat,10,105,Saudi Arabia,Tabuk,,Returning,True,"['/contact', '/products', '/home', '/login', '/blog', '/about']",ads
74c66aee-b565-4e79-a78d-d0fa7f3d77de,True,2025-06-20 18:05:42.252888,8edddc95-17c6-4394-a302-ec6b4c5e7580,Tablet,Edge,TikTok,4,159,Saudi Arabia,Mecca,2025-05-16 15:55:08.201321,New,True,"['/home', '/contact', '/login', '/blog']",seo
52f3a68e-967d-49ea-b107-3db2a78a6186,True,2025-06-30 04:02:32.799995,a881f33f-ad3a-45a8-9c26-6846141f45b5,Mobile,Safari,Snapchat,7,258,Saudi Arabia,Mecca,2024-11-30 17:11:08.941170,Returning,True,"['/login', '/contact', '/blog', '/about', '/products', '/home']",influencer
d356b7f7-5f6e-4e0a-b3bd-9500905930fa,True,2025-06-24 09:31:14.554307,5c7dd83e-f10d-4f47-a2a2-0758fdfc4a47,Tablet,Chrome,Twitter,9,1049,Saudi Arabia,Buraidah,2025-05-22 19:55:13.295216,Returning,True,"['/blog', '/home', '/contact', '/login', '/products', '/about']",influencer
ce21c1e6-fc0c-441f-a900-59b7ceacc8a3,True,2025-06-18 07:53:50.297169,dc9fa92b-0b92-48c5-a611-fd0475fe1792,Tablet,Safari,Google,10,973,Saudi Arabia,Dammam,2025-05-14 14:59:14.589359,Returning,False,"['/about', '/home', '/products', '/login', '/contact', '/blog']",ads
0b1a661b-e4e1-4180-8e2a-d0a3e795a86e,False,2025-07-11 04:34:32.359829,faa46b58-e990-4837-b726-b8182bd09acd,Tablet,Chrome,Google,3,527,Saudi Arabia,Abha,,Returning,False,"['/contact', '/products', '/about']",seo
56c12fb4-3e29-4a1c-bc48-f1b78f338629,False,2025-06-29 02:29:49.435597,c09d51bf-939a-49f0-b643-acdae5bb7f05,Desktop,Edge,Twitter,10,422,Saudi Arabia,Abha,,New,True,"['/login', '/contact', '/about', '/home', '/blog', '/products']",seo
eb7da3ba-ccd7-4575-a6f6-716fabefb9aa,False,2025-07-01 14:58:12.476163,b36fb822-5937-4ab5-b2d0-11ddcea18eb5,Mobile,Safari,Instagram,2,230,Saudi Arabia,Medina,,New,True,"['/blog', '/products']",influencer
60689afb-f2e2-4a59-84b6-a0c75b4ba4aa,False,2025-06-17 11:08:43.947866,82046f7c-2fe2-4725-a7cf-44b55399d7f5,Mobile,Edge,Twitter,3,1135,Saudi Arabia,Riyadh,,New,True,"['/home', '/login', '/blog']",seo
455cd6aa-e8d2-48cb-aa39-9c4e1b85f1ab,True,2025-06-18 16:05:22.603605,609af164-c7bf-41ab-be73-f229c71c8535,Mobile,Firefox,Instagram,6,476,Saudi Arabia,Riyadh,2024-12-31 05:26:37.143777,New,True,"['/blog', '/contact', '/products', '/login', '/home', '/about']",
afc02656-9ca6-4c9f-84e2-19d203645bae,True,2025-07-03 02:38:45.406524,f4d14a26-bcd8-410f-a780-4b3b65a80db2,Desktop,Chrome,Google,1,645,Saudi Arabia,Tabuk,2025-04-30 18:15:08.854100,New,True,['/home'],seo
c3354485-6090-430f-98aa-e4f6b4c032b6,False,2025-07-06 07:29:10.739401,d8cff6e5-1d49-4bff-872d-918a90a92f89,Desktop,Chrome,Twitter,10,1151,Saudi Arabia,Dammam,,New,False,"['/login', '/products', '/blog', '/home', '/contact', '/about']",seo
f5a385da-bdeb-4281-82ec-56b69bcb9fbc,False,2025-07-14 13:09:36.285685,8460e853-8573-4057-a8e9-7ce883edf45f,Mobile,Edge,Instagram,2,344,Saudi Arabia,Medina,,New,True,"['/login', '/blog']",influencer
